582 289 240 159 0
1157 844 1599 1311 1
8175 8357 16442 16592 2
90773 94234 184450 191314 3
1016430 1522218 5202633 3031267 4
10932673 11362314 22930759 11659555 5
116526270 111830214 254772983 86299289 6
1210825798 1131336996 2563231224 778197146 7
12520885485 10155291430 27387530296 5715790778 8
